district,timestamp,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,weather_main,weather_desc
Salem,2025-04-08 06:00:00,34.47,35.46,34.47,34.47,1011,37,1.08,183,24,Clouds,few clouds
Salem,2025-04-08 09:00:00,37.57,37.01,37.57,37.57,1007,24,1.29,225,39,Clouds,scattered clouds
Salem,2025-04-08 12:00:00,35.53,35.45,35.53,35.53,1007,30,1.28,167,48,Clouds,scattered clouds
Salem,2025-04-08 15:00:00,31.52,32.11,31.52,31.52,1010,43,2.49,110,49,Clouds,scattered clouds
Salem,2025-04-08 18:00:00,27.92,29.78,27.92,27.92,1012,64,1.98,96,69,Rain,light rain
Salem,2025-04-08 21:00:00,26.3,26.3,26.3,26.3,1010,74,1.11,107,96,Clouds,overcast clouds
Salem,2025-04-09 00:00:00,25.21,25.85,25.21,25.21,1011,79,0.9,113,61,Clouds,broken clouds
Salem,2025-04-09 03:00:00,28.66,30.75,28.66,28.66,1013,62,1.39,224,54,Clouds,broken clouds
Salem,2025-04-09 06:00:00,33.44,34.97,33.44,33.44,1011,42,2.8,227,46,Clouds,scattered clouds
Salem,2025-04-09 09:00:00,35.17,35.85,35.17,35.17,1007,34,3.69,235,93,Clouds,overcast clouds
Salem,2025-04-09 12:00:00,33.31,34.06,33.31,33.31,1007,39,2.18,73,92,Clouds,overcast clouds
Salem,2025-04-09 15:00:00,29.18,29.77,29.18,29.18,1009,49,1.95,52,76,Clouds,broken clouds
Salem,2025-04-09 18:00:00,28.7,29.51,28.7,28.7,1009,52,2.45,172,85,Clouds,overcast clouds
Salem,2025-04-09 21:00:00,27.02,28.33,27.02,27.02,1008,63,1.21,188,84,Rain,light rain
Salem,2025-04-10 00:00:00,25.62,26.25,25.62,25.62,1008,77,0.96,220,78,Rain,light rain
Salem,2025-04-10 03:00:00,28.87,31.76,28.87,28.87,1010,66,2.26,213,86,Clouds,overcast clouds
Salem,2025-04-10 06:00:00,34.33,36.56,34.33,34.33,1008,42,2.94,241,88,Clouds,overcast clouds
Salem,2025-04-10 09:00:00,36.27,37.12,36.27,36.27,1004,32,3.27,226,34,Clouds,scattered clouds
Salem,2025-04-10 12:00:00,33.54,34.2,33.54,33.54,1004,38,4.27,237,44,Clouds,scattered clouds
Salem,2025-04-10 15:00:00,29.58,30.44,29.58,29.58,1007,50,1.09,212,60,Clouds,broken clouds
Salem,2025-04-10 18:00:00,28.34,29.96,28.34,28.34,1008,60,2.59,192,60,Clouds,broken clouds
Salem,2025-04-10 21:00:00,26.9,28.61,26.9,26.9,1007,69,2.15,210,91,Clouds,overcast clouds
Salem,2025-04-11 00:00:00,26.08,26.08,26.08,26.08,1008,75,1.64,212,93,Clouds,overcast clouds
Salem,2025-04-11 03:00:00,27.38,29.31,27.38,27.38,1010,68,1.67,247,84,Clouds,broken clouds
Salem,2025-04-11 06:00:00,33.23,34.85,33.23,33.23,1008,43,1.17,258,68,Clouds,broken clouds
Salem,2025-04-11 09:00:00,36.74,37.61,36.74,36.74,1004,31,2.79,254,39,Clouds,scattered clouds
